name,category,brend,type,power,test_down,test_up,length,sensi,rig,stroy,bonus_opit,bonus_snast,bonus_nav,bonus_zabros,stren,lvl,price_ser,price_gold,system_id,photo,source_url
Barracuda CST CSSL78M,Спиннинговые,Barracuda,Кастинг,M,3,20,"2,4",1,1,Медленный,,,,,"60,8",26,4899,,cast_10057_CSSL78L,/uploads/rods/cast_10057_CSSL78L.png,https://potryasovgame.ru/page110667676.html
Advent CST-F93MH,Спиннинговые,Advent,Кастинг,MH,5,28,"2,8",7,7,Быстрый,,,,,50,26,4859,,cast_10159_F93MH,/uploads/rods/cast_10159_F93MH.png,https://potryasovgame.ru/page110667676.html
Advent CST-F86HH,Спиннинговые,Advent,Кастинг,XH,10,56,"2,6",7,9,Быстрый,,,,,50,26,4813,,cast_10159_F86HH,/uploads/rods/cast_10159_F86HH.png,https://potryasovgame.ru/page110667676.html
Advent CST-F70HHH,Спиннинговые,Advent,Кастинг,XH,21,70,"2,1",6,10,Быстрый,,,,,53,26,4709,,cast_10159_F70HHH,/uploads/rods/cast_10159_F70HHH.png,https://potryasovgame.ru/page110667676.html
Advent CST-F70HH,Спиннинговые,Advent,Кастинг,XH,10,56,"2,1",7,9,Быстрый,,,,,50,26,4605,,cast_10159_F70HH,/uploads/rods/cast_10159_F70HH.png,https://potryasovgame.ru/page110667676.html
Evora CST CSSL98H,Спиннинговые,Evora,Кастинг,H,12,60,3,5,7,Медленный,,,,10%,"49,4",24,4499,,cast_10056_CSSL98H,/uploads/rods/cast_10056_CSSL98H.png,https://potryasovgame.ru/page110667676.html
Advent CST-F66L,Спиннинговые,Advent,Кастинг,L,3,9,2,7,7,Быстрый,50%,,,,"23,1",26,4383,,cast_10159_F66L,/uploads/rods/cast_10159_F66L.png,https://potryasovgame.ru/page110667676.html
Advent CST-F70H,Спиннинговые,Advent,Кастинг,H,8,42,"2,1",7,8,Быстрый,,,,,45,26,4298,,cast_10159_F70H,/uploads/rods/cast_10159_F70H.png,https://potryasovgame.ru/page110667676.html
Pulse CF70MH,Спиннинговые,Pulse,Кастинг,MH,7,28,"2,1",7,8,Быстрый,,Джиговые +1,,,28,24,3929,,cast_10149_CF70MH,/uploads/rods/cast_10149_CF70MH.png,https://potryasovgame.ru/page110667676.html
Pulse CF70H,Спиннинговые,Pulse,Кастинг,H,14,52,"2,1",7,9,Быстрый,,Джиговые +1,,,"28,1",24,3929,,cast_10149_CF70H,/uploads/rods/cast_10149_CF70H.png,https://potryasovgame.ru/page110667676.html
Pulse CF70XH,Спиннинговые,Pulse,Кастинг,XH,21,77,"2,1",7,10,Быстрый,,Джиговые +1,,,"28,6",24,3929,,cast_10149_CF70XH,/uploads/rods/cast_10149_CF70XH.png,https://potryasovgame.ru/page110667676.html
Pulse CXF70M,Спиннинговые,Pulse,Кастинг,M,7,"17,5","2,1",7,8,Сверх,,Джиговые +1,,,"26,1",24,3929,,cast_10149_CXF70M,/uploads/rods/cast_10149_CXF70M.png,https://potryasovgame.ru/page110667676.html
Pulse CF66L,Спиннинговые,Pulse,Кастинг,L,"2,5",9,2,8,7,Быстрый,50%,Джиговые +1,,,15,24,3815,,cast_10149_CF66L,/uploads/rods/cast_10149_CF66L.png,https://potryasovgame.ru/page110667676.html
Pulse CF66ML,Спиннинговые,Pulse,Кастинг,ML,4,14,2,7,7,Быстрый,25%,Джиговые +1,,,"25,4",24,3815,,cast_10149_CF66ML,/uploads/rods/cast_10149_CF66ML.png,https://potryasovgame.ru/page110667676.html
Pulse CF60UL,Спиннинговые,Pulse,Кастинг,UL,"1,5",5,"1,8",6,6,Быстрый,100%,Джиговые +1,,,9,24,3815,,cast_10149_CF60UL,/uploads/rods/cast_10149_CF60UL.png,https://potryasovgame.ru/page110667676.html
Advent CST-F66ML,Спиннинговые,Advent,Кастинг,ML,4,12,2,7,7,Быстрый,25%,,,,28,26,3550,,cast_10159_F66ML,/uploads/rods/cast_10159_F66ML.png,https://potryasovgame.ru/page110667676.html
Cardena CST CSM78ML,Спиннинговые,Cardena,Кастинг,ML,4,16,"2,4",3,5,Средний,25%,,,,"37,5",22,3499,,cast_10055_CSM78ML,/uploads/rods/cast_10055_CSM78ML.png,https://potryasovgame.ru/page110667676.html
Versa CF70UL,Спиннинговые,Versa,Кастинг,UL,1,5,"2,1",5,5,Быстрый,100%,,,,"8,5",22,3135,,cast_10148_CF70UL,/uploads/rods/cast_10148_CF70UL.png,https://potryasovgame.ru/page110667676.html
Versa CM70L,Спиннинговые,Versa,Кастинг,L,"2,5",12,"2,1",5,5,Средний,50%,,,,21,22,3135,,cast_10148_CM70L,/uploads/rods/cast_10148_CM70L.png,https://potryasovgame.ru/page110667676.html
Evora CST CSSL78MH,Спиннинговые,Evora,Кастинг,MH,8,40,"2,4",5,6,Медленный,,,,10%,"38,7",24,3100,,cast_10056_CSSL78MH,/uploads/rods/cast_10056_CSSL78MH.png,https://potryasovgame.ru/page110667676.html
Cardena CST CSM68UL,Спиннинговые,Cardena,Кастинг,UL,1,5,"2,1",3,4,Средний,100%,,,,8,22,2799,,cast_10055_CSM68UL,/uploads/rods/cast_10055_CSM68UL.png,https://potryasovgame.ru/page110667676.html
Versa CF66ML,Спиннинговые,Versa,Кастинг,ML,4,14,2,6,6,Быстрый,25%,,,,"28,1",22,2650,,cast_10148_CF66ML,/uploads/rods/cast_10148_CF66ML.png,https://potryasovgame.ru/page110667676.html
Versa CM80H,Спиннинговые,Versa,Кастинг,H,14,70,"2,5",6,8,Средний,,,,,35,22,2550,,cast_10148_CM80H,/uploads/rods/cast_10148_CM80H.png,https://potryasovgame.ru/page110667676.html
Versa CF77M,Спиннинговые,Versa,Кастинг,M,"4,5","17,5","2,4",6,6,Быстрый,,,,,35,22,2500,,cast_10148_CF77M,/uploads/rods/cast_10148_CF77M.png,https://potryasovgame.ru/page110667676.html
Versa CF77XH,Спиннинговые,Versa,Кастинг,XH,12,42,"2,4",6,8,Быстрый,,,,,35,22,2500,,cast_10148_CF77XH,/uploads/rods/cast_10148_CF77XH.png,https://potryasovgame.ru/page110667676.html
Advent CST-F70MH,Спиннинговые,Advent,Кастинг,MH,5,28,"2,1",7,7,Быстрый,,,,,32,26,2498,,cast_10159_F70MH,/uploads/rods/cast_10159_F70MH.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTXF98H,Спиннинговые,Ethnic,Кастинг,H,12,36,3,4,7,Сверх,,,,,"36,1",16,2449,,cast_10109_CSTXF98H,/uploads/rods/cast_10109_CSTXF98H.png,https://potryasovgame.ru/page110667676.html
Versa CM66MH,Спиннинговые,Versa,Кастинг,MH,7,28,2,6,7,Быстрый,,,,,"34,5",22,2400,,cast_10148_CM66MH,/uploads/rods/cast_10148_CM66MH.png,https://potryasovgame.ru/page110667676.html
Integra CF70ML,Спиннинговые,Integra,Кастинг,ML,"3,5",12,"2,1",3,5,Быстрый,25%,,,,26,20,2361,,cast_10147_CF70ML,/uploads/rods/cast_10147_CF70ML.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTF88H,Спиннинговые,Ethnic,Кастинг,H,12,48,"2,7",4,7,Быстрый,,,,,36,16,2350,,cast_10109_CSTF88H,/uploads/rods/cast_10109_CSTF88H.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTXF78H,Спиннинговые,Ethnic,Кастинг,H,12,36,"2,4",4,7,Сверх,,,,,"36,1",16,2250,,cast_10109_CSTXF78H,/uploads/rods/cast_10109_CSTXF78H.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTXF88XH,Спиннинговые,Ethnic,Кастинг,XH,20,60,"2,7",4,7,Сверх,,,,,35,16,2199,,cast_10109_CSTXF88XH,/uploads/rods/cast_10109_CSTXF88XH.png,https://potryasovgame.ru/page110667676.html
Cardena CST CSF60L,Спиннинговые,Cardena,Кастинг,L,2,7,"1,8",3,5,Быстрый,50%,,,,16,22,2150,,cast_10055_CSF60L,/uploads/rods/cast_10055_CSF60L.png,https://potryasovgame.ru/page110667676.html
Model One CST S88H,Спиннинговые,Model,Кастинг,H,15,50,"2,7",2,6,Быстрый,,,,,"35,4",18,2150,,cast_10020_S88H,/uploads/rods/cast_10020_S88H.png,https://potryasovgame.ru/page110667676.html
Ventura CM77H,Спиннинговые,Ventura,Кастинг,H,14,70,"2,4",3,6,Средний,,,,,"34,5",18,1999,,cast_10146_CM77H,/uploads/rods/cast_10146_CM77H.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTM78L,Спиннинговые,Ethnic,Кастинг,L,2,10,"2,4",3,4,Средний,50%,,,,17,16,1974,,cast_10109_CSTM78L,/uploads/rods/cast_10109_CSTM78L.png,https://potryasovgame.ru/page110667676.html
Integra CF77M,Спиннинговые,Integra,Кастинг,M,5,"17,5","2,4",3,5,Быстрый,,,,,"32,2",20,1949,,cast_10147_CF77M,/uploads/rods/cast_10147_CF77M.png,https://potryasovgame.ru/page110667676.html
Integra CF70MH,Спиннинговые,Integra,Кастинг,MH,7,21,"2,1",3,5,Быстрый,,,,,"33,3",20,1940,,cast_10147_CF70MH,/uploads/rods/cast_10147_CF70MH.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTM68UL,Спиннинговые,Ethnic,Кастинг,UL,1,5,"2,1",3,3,Средний,100%,,,,7,16,1899,,cast_10109_CSTM68UL,/uploads/rods/cast_10109_CSTM68UL.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTF78ML,Спиннинговые,Ethnic,Кастинг,ML,4,16,"2,4",6,6,Быстрый,25%,,,,20,16,1853,,cast_10109_CSTF78ML,/uploads/rods/cast_10109_CSTF78ML.png,https://potryasovgame.ru/page110667676.html
Aeros CST CSXF60H,Спиннинговые,Aeros,Кастинг,H,10,28,"1,8",4,7,Сверх,,,,,"32,1",20,1800,,cast_10054_CSXF60H,/uploads/rods/cast_10054_CSXF60H.png,https://potryasovgame.ru/page110667676.html
Ventura CF66ML,Спиннинговые,Ventura,Кастинг,ML,"3,5",14,2,3,5,Быстрый,25%,,,,22,18,1799,,cast_10146_CF66ML,/uploads/rods/cast_10146_CF66ML.png,https://potryasovgame.ru/page110667676.html
Integra CF66M,Спиннинговые,Integra,Кастинг,M,6,16,2,3,5,Быстрый,,,,,"31,1",20,1730,,cast_10147_CF66M,/uploads/rods/cast_10147_CF66M.png,https://potryasovgame.ru/page110667676.html
Ventura CF66MH,Спиннинговые,Ventura,Кастинг,MH,7,21,2,3,5,Быстрый,,,,,"31,5",18,1699,,cast_10146_CF66MH,/uploads/rods/cast_10146_CF66MH.png,https://potryasovgame.ru/page110667676.html
Aurora CSTXF88H,Спиннинговые,Aurora,Кастинг,H,12,28,"2,7",5,8,Сверх,,,,,28,14,1699,,cast_10108_CSTXF88H,/uploads/rods/cast_10108_CSTXF88H.png,https://potryasovgame.ru/page110667676.html
Super Duty CST86XH,Спиннинговые,Super,Кастинг,XH,25,100,"2,6",4,8,Быстрый,,,,,"30,5",14,1670,,cast_10018_CST86XH,/uploads/rods/cast_10018_CST86XH.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTM88MH,Спиннинговые,Ethnic,Кастинг,MH,7,28,"2,7",3,5,Средний,,,,,27,16,1660,,cast_10109_CSTM88MH,/uploads/rods/cast_10109_CSTM88MH.png,https://potryasovgame.ru/page110667676.html
Ventura CXF70MH,Спиннинговые,Ventura,Кастинг,MH,"10,5",28,"2,1",3,6,Сверх,,,,,30,18,1656,,cast_10146_CXF70MH,/uploads/rods/cast_10146_CXF70MH.png,https://potryasovgame.ru/page110667676.html
Ventura CXF70M,Спиннинговые,Ventura,Кастинг,M,7,"17,5","2,1",3,6,Сверх,,,,,26,18,1590,,cast_10146_CXF70M,/uploads/rods/cast_10146_CXF70M.png,https://potryasovgame.ru/page110667676.html
Aeros CST CSF66MH,Спиннинговые,Aeros,Кастинг,MH,7,28,"2,1",4,6,Быстрый,,,,,"27,6",20,1549,,cast_10054_CSF66MH,/uploads/rods/cast_10054_CSF66MH.png,https://potryasovgame.ru/page110667676.html
Ethnic CSTF66MH,Спиннинговые,Ethnic,Кастинг,MH,7,21,2,5,7,Быстрый,,,,,26,16,1499,,cast_10109_CSTF66MH,/uploads/rods/cast_10109_CSTF66MH.png,https://potryasovgame.ru/page110667676.html
Model One CST S78L,Спиннинговые,Model,Кастинг,L,2,10,"2,4",3,5,Быстрый,50%,,,,"15,7",18,1471,,cast_10020_S78L,/uploads/rods/cast_10020_S78L.png,https://potryasovgame.ru/page110667676.html
Model One CST S78M,Спиннинговые,Model,Кастинг,M,5,30,"2,4",2,4,Средний,,,,,23,18,1437,,cast_10020_S78M,/uploads/rods/cast_10020_S78M.png,https://potryasovgame.ru/page110667676.html
Super Duty CST78H,Спиннинговые,Super,Кастинг,H,14,70,"2,4",4,7,Средний,,,,,"24,3",14,1398,,cast_10018_CST78H,/uploads/rods/cast_10018_CST78H.png,https://potryasovgame.ru/page110667676.html
Super Duty CST60MH,Спиннинговые,Super,Кастинг,MH,15,45,"1,8",4,8,Сверх,,,,,24,14,1328,,cast_10018_CST60MH,/uploads/rods/cast_10018_CST60MH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTXF88XH,Спиннинговые,Mechta,Кастинг,XH,25,90,"2,7",5,9,Сверх,,,,,23,14,1299,,cast_10123_CSTXF88XH,/uploads/rods/cast_10123_CSTXF88XH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTF68ML,Спиннинговые,Mechta,Кастинг,ML,4,17,2,5,6,Быстрый,25%,,,,17,14,1199,,cast_10123_CSTF68ML,/uploads/rods/cast_10123_CSTF68ML.png,https://potryasovgame.ru/page110667676.html
Aurora CSTXF78MH,Спиннинговые,Aurora,Кастинг,MH,7,19,"2,4",6,8,Сверх,,,,,21,14,1188,,cast_10108_CSTXF78MH,/uploads/rods/cast_10108_CSTXF78MH.png,https://potryasovgame.ru/page110667676.html
Model One CST S68MH,Спиннинговые,Model,Кастинг,MH,10,25,"2,1",6,8,Сверх,,,,,21,18,1145,,cast_10020_S68MH,/uploads/rods/cast_10020_S68MH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTXF88H,Спиннинговые,Mechta,Кастинг,H,15,50,"2,7",5,8,Сверх,,,,,21,14,1090,,cast_10123_CSTXF88H,/uploads/rods/cast_10123_CSTXF88H.png,https://potryasovgame.ru/page110667676.html
Aurora CSTF78M,Спиннинговые,Aurora,Кастинг,M,6,21,"2,4",6,7,Быстрый,,,,,20,14,996,,cast_10108_CSTF78M,/uploads/rods/cast_10108_CSTF78M.png,https://potryasovgame.ru/page110667676.html
Mechta CSTM98MH,Спиннинговые,Mechta,Кастинг,MH,7,35,3,5,6,Средний,,,,,17,14,990,,cast_10123_CSTM98MH,/uploads/rods/cast_10123_CSTM98MH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTF78MH,Спиннинговые,Mechta,Кастинг,MH,7,30,"2,4",5,7,Быстрый,,,,,20,14,930,,cast_10123_CSTF78MH,/uploads/rods/cast_10123_CSTF78MH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTXF78MH,Спиннинговые,Mechta,Кастинг,MH,10,35,"2,4",5,7,Сверх,,,,,19,14,930,,cast_10123_CSTXF78MH,/uploads/rods/cast_10123_CSTXF78MH.png,https://potryasovgame.ru/page110667676.html
Mechta CSTM70L,Спиннинговые,Mechta,Кастинг,L,2,10,"2,1",4,4,Средний,50%,,,,13,14,930,,cast_10123_CSTM70L,/uploads/rods/cast_10123_CSTM70L.png,https://potryasovgame.ru/page110667676.html
Mechta CSTM70UL,Спиннинговые,Mechta,Кастинг,UL,1,7,"2,1",4,4,Средний,100%,,,,"5,1",14,930,,cast_10123_CSTM70UL,/uploads/rods/cast_10123_CSTM70UL.png,https://potryasovgame.ru/page110667676.html
Mechta CSTF60MH,Спиннинговые,Mechta,Кастинг,MH,7,30,"1,8",5,7,Быстрый,,,,,20,14,920,,cast_10123_CSTF60MH,/uploads/rods/cast_10123_CSTF60MH.png,https://potryasovgame.ru/page110667676.html
Karelia CSTF78MH,Спиннинговые,Karelia,Кастинг,MH,10,40,"2,4",3,6,Быстрый,,,,,18,12,849,,cast_10107_CSTF78MH,/uploads/rods/cast_10107_CSTF78MH.png,https://potryasovgame.ru/page110667676.html
Karelia CSTM78ML,Спиннинговые,Karelia,Кастинг,ML,4,16,"2,4",3,5,Средний,25%,,,,12,12,749,,cast_10107_CSTM78ML,/uploads/rods/cast_10107_CSTM78ML.png,https://potryasovgame.ru/page110667676.html
Karelia CSTM68L,Спиннинговые,Karelia,Кастинг,L,2,10,"2,1",4,5,Средний,50%,,,,"10,2",12,744,,cast_10107_CSTM68L,/uploads/rods/cast_10107_CSTM68L.png,https://potryasovgame.ru/page110667676.html
Belmor CSTXF88XH,Спиннинговые,Belmor,Кастинг,XH,20,60,"2,7",4,9,Сверх,,,,,16,10,698,,cast_10106_CSTXF88XH,/uploads/rods/cast_10106_CSTXF88XH.png,https://potryasovgame.ru/page110667676.html
Karelia CSTF78M,Спиннинговые,Karelia,Кастинг,M,5,20,"2,4",3,5,Быстрый,,,,,16,12,679,,cast_10107_CSTF78M,/uploads/rods/cast_10107_CSTF78M.png,https://potryasovgame.ru/page110667676.html
Linear CST 98H,Спиннинговые,Linear,Кастинг,H,12,45,3,4,7,Быстрый,,,,,"15,3",10,677,,cast_10017_98H,/uploads/rods/cast_10017_98H.png,https://potryasovgame.ru/page110667676.html
Heavy CST C80XH,Спиннинговые,Heavy,Кастинг,XH,40,120,"2,4",0,10,Быстрый,,,,,"15,4",7,653,,cast_10010_C80XH,/uploads/rods/cast_10010_C80XH.png,https://potryasovgame.ru/page110667676.html
Belmor CSTF88H,Спиннинговые,Belmor,Кастинг,H,12,48,"2,7",4,8,Быстрый,,,,,14,10,599,,cast_10106_CSTF88H,/uploads/rods/cast_10106_CSTF88H.png,https://potryasovgame.ru/page110667676.html
Fortuna CST 66MH,Спиннинговые,Fortuna,Кастинг,MH,7,28,2,4,6,Быстрый,,Джиггинг +1,,,"14,5",16,598,,cast_10019_66MH,/uploads/rods/cast_10019_66MH.png,https://potryasovgame.ru/page110667676.html
Lait CSTSL78ML,Спиннинговые,Lait,Кастинг,ML,3,15,"2,4",2,4,Медленный,25%,,,,"11,5",9,559,,cast_10122_CSTSL78ML,/uploads/rods/cast_10122_CSTSL78ML.png,https://potryasovgame.ru/page110667676.html
Lait CSTSL70L,Спиннинговые,Lait,Кастинг,L,2,12,"2,1",2,4,Медленный,50%,,,,"7,5",9,539,,cast_10122_CSTSL70L,/uploads/rods/cast_10122_CSTSL70L.png,https://potryasovgame.ru/page110667676.html
Fortuna CST 68MH,Спиннинговые,Fortuna,Кастинг,MH,7,21,"2,1",6,8,Сверх,,Джиггинг +1,,,"13,5",16,519,,cast_10019_68MH,/uploads/rods/cast_10019_68MH.png,https://potryasovgame.ru/page110667676.html
Linear CST 78MH,Спиннинговые,Linear,Кастинг,MH,10,30,"2,4",6,8,Быстрый,,,,,"13,5",10,497,,cast_10017_78MH,/uploads/rods/cast_10017_78MH.png,https://potryasovgame.ru/page110667676.html
Linear CST68ML,Спиннинговые,Linear,Кастинг,ML,3,15,"2,1",5,6,Средний,25%,,,,11,10,478,,cast_10017_68ML,/uploads/rods/cast_10017_68ML.png,https://potryasovgame.ru/page110667676.html
Fortuna CST 60MH,Спиннинговые,Fortuna,Кастинг,MH,7,21,"1,8",6,8,Сверх,,Джиггинг +1,,,"13,5",16,419,,cast_10019_60MH,/uploads/rods/cast_10019_60MH.png,https://potryasovgame.ru/page110667676.html
Belmor CSTF78MH,Спиннинговые,Belmor,Кастинг,MH,7,28,"2,4",4,7,Быстрый,,,,,13,10,419,,cast_10106_CSTF78MH,/uploads/rods/cast_10106_CSTF78MH.png,https://potryasovgame.ru/page110667676.html
Belmor CSTF78M,Спиннинговые,Belmor,Кастинг,M,5,20,"2,4",4,7,Быстрый,,,,,12,10,398,,cast_10106_CSTF78M,/uploads/rods/cast_10106_CSTF78M.png,https://potryasovgame.ru/page110667676.html
Heavy CST C70XH,Спиннинговые,Heavy,Кастинг,XH,25,80,"2,1",0,9,Сверх,,,,,"13,1",7,388,,cast_10010_C70XH,/uploads/rods/cast_10010_C70XH.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C80M,Спиннинговые,Premium,Кастинг,M,5,15,"2,4",4,7,Быстрый,,,,,"11,7",10,322,,cast_10011_C80M,/uploads/rods/cast_10011_C80M.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C80H,Спиннинговые,Premium,Кастинг,H,7,28,"2,4",4,7,Быстрый,,,,,"12,1",10,321,,cast_10011_C80H,/uploads/rods/cast_10011_C80H.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C70M,Спиннинговые,Premium,Кастинг,M,5,15,"2,1",4,7,Быстрый,,,,,"11,7",10,319,,cast_10011_C70M,/uploads/rods/cast_10011_C70M.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C70MH,Спиннинговые,Premium,Кастинг,MH,7,21,"2,1",4,7,Сверх,,,,,12,10,319,,cast_10011_C70MH,/uploads/rods/cast_10011_C70MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C66H,Спиннинговые,Premium,Кастинг,H,7,28,2,4,7,Быстрый,,,,,"12,1",10,318,,cast_10011_C66H,/uploads/rods/cast_10011_C66H.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C60MH,Спиннинговые,Premium,Кастинг,MH,7,21,"1,8",4,7,Сверх,,,,,12,10,315,,cast_10011_C60MH,/uploads/rods/cast_10011_C60MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C66MH,Спиннинговые,Premium,Кастинг,MH,7,21,2,4,7,Сверх,,,,,12,10,314,,cast_10011_C66MH,/uploads/rods/cast_10011_C66MH.png,https://potryasovgame.ru/page110667676.html
Premium Stick CST C70H,Спиннинговые,Premium,Кастинг,H,7,28,"2,1",4,7,Быстрый,,,,,"12,1",10,310,,cast_10011_C70H,/uploads/rods/cast_10011_C70H.png,https://potryasovgame.ru/page110667676.html
Heavy CST C66H,Спиннинговые,Heavy,Кастинг,H,18,40,2,2,8,Сверх,,,,,11,7,289,,cast_10010_C66H,/uploads/rods/cast_10010_C66H.png,https://potryasovgame.ru/page110667676.html
Vision CST C66MH,Спиннинговые,Vision,Кастинг,MH,5,30,2,3,5,Средний,,,,,"9,9",4,249,,cast_10008_C66MH,/uploads/rods/cast_10008_C66MH.png,https://potryasovgame.ru/page110667676.html
Arrow CST C70M,Спиннинговые,Arrow,Кастинг,M,5,20,"2,1",4,7,Средний,,,,,7,5,174,,cast_10009_C70M,/uploads/rods/cast_10009_C70M.png,https://potryasovgame.ru/page110667676.html
Arrow CST C60M,Спиннинговые,Arrow,Кастинг,M,5,20,"1,8",4,7,Средний,,,,,7,5,155,,cast_10009_C60M,/uploads/rods/cast_10009_C60M.png,https://potryasovgame.ru/page110667676.html
Dynamic CST C70M,Спиннинговые,Dynamic,Кастинг,M,7,21,"2,1",3,6,Сверх,,,,,"6,5",3,113,,cast_10007_C70M,/uploads/rods/cast_10007_C70M.png,https://potryasovgame.ru/page110667676.html
Dynamic CST C66MH,Спиннинговые,Dynamic,Кастинг,MH,10,30,2,3,7,Быстрый,,,,,"5,9",3,95,,cast_10007_C66MH,/uploads/rods/cast_10007_C66MH.png,https://potryasovgame.ru/page110667676.html
Dynamic CST C60MH,Спиннинговые,Dynamic,Кастинг,MH,10,30,"1,8",3,7,Быстрый,,,,,"5,9",3,86,,cast_10007_C60MH,/uploads/rods/cast_10007_C60MH.png,https://potryasovgame.ru/page110667676.html
Dynamic CST C60H,Спиннинговые,Dynamic,Кастинг,H,15,45,"1,8",2,8,Сверх,,,,,"6,5",3,79,,cast_10007_C60H,/uploads/rods/cast_10007_C60H.png,https://potryasovgame.ru/page110667676.html
Corona CST C70H,Спиннинговые,Corona,Кастинг,H,15,60,"2,1",3,9,Быстрый,,,,,"5,4",1,"35,5",,cast_10006_C70H,/uploads/rods/cast_10006_C70H.png,https://potryasovgame.ru/page110667676.html
Corona CST C66H,Спиннинговые,Corona,Кастинг,H,15,60,2,3,9,Быстрый,,,,,"5,4",1,34,,cast_10006_C66H,/uploads/rods/cast_10006_C66H.png,https://potryasovgame.ru/page110667676.html
Corona CST C66MH,Спиннинговые,Corona,Кастинг,MH,10,30,2,3,7,Сверх,,,,,"4,2",1,34,,cast_10006_C66MH,/uploads/rods/cast_10006_C66MH.png,https://potryasovgame.ru/page110667676.html
Corona CST C60MH,Спиннинговые,Corona,Кастинг,MH,10,30,"1,8",3,7,Сверх,,,,,"4,2",1,30,,cast_10006_C60MH,/uploads/rods/cast_10006_C60MH.png,https://potryasovgame.ru/page110667676.html
Ultima J-F72HHH,Спиннинговые,Ultima,Джерк,XH,40,125,"2,1",8,10,Быстрый,,Джербейт +2,,,88,32,20110,,jerk_10165_F72HHH,/uploads/rods/jerk_10165_F72HHH.png,https://potryasovgame.ru/page110667676.html
Ultima J-F71HH,Спиннинговые,Ultima,Джерк,XH,25,75,"2,1",8,10,Быстрый,,Джербейт +2,,,84,32,19197,,jerk_10165_F71HH,/uploads/rods/jerk_10165_F71HH.png,https://potryasovgame.ru/page110667676.html
Ultima J-F70H,Спиннинговые,Ultima,Джерк,H,15,45,"2,1",8,10,Быстрый,,Джербейт +2,,,77,32,18549,,jerk_10165_F70H,/uploads/rods/jerk_10165_F70H.png,https://potryasovgame.ru/page110667676.html
Ultima J-F68MH,Спиннинговые,Ultima,Джерк,MH,10,30,2,8,9,Быстрый,,Джербейт +2,,,72,32,17773,,jerk_10165_F68MH,/uploads/rods/jerk_10165_F68MH.png,https://potryasovgame.ru/page110667676.html
Advent J-F70HHH,Спиннинговые,Advent,Джерк,XH,35,112,"2,1",6,10,Быстрый,,Джербейт +1,,,54,28,8164,,jerk_10164_F70HHH,/uploads/rods/jerk_10164_F70HHH.png,https://potryasovgame.ru/page110667676.html
Muskie Strike JSXF68XH,Спиннинговые,Muskie,Джерк,XH,35,90,"2,1",5,9,Сверх,,Удилище +1,,,"48,2",28,8142,,jerk_10061_JSXF68XH,/uploads/rods/jerk_10061_JSXF68XH.png,https://potryasovgame.ru/page110667676.html
Advent J-F68HH,Спиннинговые,Advent,Джерк,XH,21,70,2,6,10,Быстрый,,Джербейт +1,,,52,28,7924,,jerk_10164_F68HH,/uploads/rods/jerk_10164_F68HH.png,https://potryasovgame.ru/page110667676.html
Advent J-F68H,Спиннинговые,Advent,Джерк,H,12,42,2,7,9,Быстрый,,Джербейт +1,,,50,28,7804,,jerk_10164_F68H,/uploads/rods/jerk_10164_F68H.png,https://potryasovgame.ru/page110667676.html
Muskie Strike JSF60H,Спиннинговые,Muskie,Джерк,H,16,54,"1,8",5,8,Быстрый,,Удилище +1,,,"49,7",28,7782,,jerk_10061_JSF60H,/uploads/rods/jerk_10061_JSF60H.png,https://potryasovgame.ru/page110667676.html
Muskie Strike JSF60XH,Спиннинговые,Muskie,Джерк,XH,35,110,"1,8",5,9,Быстрый,,Удилище +1,,,"54,1",28,7782,,jerk_10061_JSF60XH,/uploads/rods/jerk_10061_JSF60XH.png,https://potryasovgame.ru/page110667676.html
Barracuda JB JSF68H,Спиннинговые,Barracuda,Джерк,H,30,95,"2,1",2,8,Быстрый,,,,,"61,9",26,5898,,jerk_10060_JSF68H,/uploads/rods/jerk_10060_JSF68H.png,https://potryasovgame.ru/page110667676.html
Barracuda JB JSF68XH,Спиннинговые,Barracuda,Джерк,XH,45,140,"2,1",2,8,Быстрый,,,,,"62,4",26,5898,,jerk_10060_JSF68XH,/uploads/rods/jerk_10060_JSF68XH.png,https://potryasovgame.ru/page110667676.html
